BIL,NEGERI,HOSPITAL,ALAMAT,BANDAR,NO. TELEFON,NO. FAX,"WAKTU OPERASI 
(HARI BEKERJA)"
1,Perlis,Hospital Tuanku Fauziah,"Jalan Kolam, 01000",Kangar,04-9738000,04-9767237,8.00 pagi - 5.00 petang
2,Perak,Hospital Slim River,Slim River,Perak,05-4508000,05-4508002,8.00 pagi - 5.00 petang
3,Perak,Hospital Teluk Intan,Jalan Changkat Jong,Teluk Intan,05-6218400,05-6212415,8.30 pagi - 5.30 petang
4,Perak,Hospital Raja Permaisuri Bainun,Jalan Hospital,Ipoh,05-2085000,05-2531541,8.00 pagi - 5.00 petang
5,Perak,Hospital Taiping,Jalan Taming Sari,Taiping,05-820 4000,05-807 3894,8.00 pagi - 5.00 petang 
6,Perak,Hospital Seri Manjung,Seri Manjung,Seri Manjung,05-6896600,05-6884013,8.00 pagi - 5.00 petang 
7,Perak,Hospital Bahagia Ulu Kinta,Tanjong Rambutan,Ulu Kinta,05-5332333,05-5331350,8.00 pagi - 5.00 petang 
8,Pulau Pinang,Hospital Bukit Mertajam,"Jalan Kulim, Bukit Mertajam",Bukit Mertajam,04-5497333,04-5497299,8.00 pagi - 5.00 petang
9,Pulau Pinang,Hospital Seberang Jaya,"Jln Tun Hussein Onn, Perai",Perai,04-3827333,04-3970754,8.00 pagi - 5.00 petang
10,Pulau Pinang,Hospital Pulau Pinang,Jalan Residensi,Pulau Pinang,04-2225333,04-2281737,8.00 pagi - 5.00 petang
11,Kedah,Hospital Sultanah Bahiyah,"KM 6, Jln Langgar",Alor Setar,04-7406233,04-7350232,8.00 pagi - 5.00 petang
12,Kedah,Hospital Sultan Abdul Halim,"Jalan Lencongan Timur Bandar Amanjaya, Sungai Petani",Sungai Petani,04-4457333,04-4480092,8.00 pagi - 5.00 petang
13,Selangor,Hospital Selayang,Lebuhraya Selayang-Kepong,Batu Caves,03 - 6136 7788,03 - 6137 709,8.00 pagi - 5.00 petang
14,Selangor,Hospital Sungai Buloh,Jalan Hospital,Sungai Buluh,03-61454333,03-61454222,8.00 pagi - 5.00 petang
15,Selangor,Hospital Ampang,Jalan Mewah Utara,Ampang,03-4289 6000,03-4295 4666,8.00 pagi - 5.00 petang
